date,type,event,description,resources,year,week_number,month_year,weekday,mentions_kim
2023-07-24,Missile Provocation,Ballistic Missile Launch,"ROK JCS reported North Korea fired two SRBMs from Monday July 24th 11:55 pm to July 25th 00:00 am (KST). They each flew around 400 km and crashed into the East Sea.

Japan's MoD reported North Korea fired two SRBMs. The first missile was fired on Monday July 24th 11:54 pm (KST), reaching a mximum altitude of 100 km, and flew 350 km before it landed in the East Sea. The second missile was fired on Monday July 24th 11:59 pm (KST), reaching a maximum altitude of 100 km, a flew 400 km before it landed in the East Sea.",https://www.nknews.org/2023/07/north-korea-fires-ballistic-missile-toward-east-sea-rok-military/,2023,30,07-2023,Monday,False
2023-07-22,Missile Provocation,Strategic cruise missile,ROK JCS reported North Korea fired 'several' cruise missiles on July 22 at 04:00 am (KST). They both landed in the Yellow Sea (West Sea).,https://en.yna.co.kr/view/AEN20230722000551325?section=nk/nk,2023,29,07-2023,Saturday,False
2023-07-18,Missile Provocation,Short-range Ballistic Missile Launch,"According to South Korea's Joint Chiefs of Staff, North Korea fired two SRBMs on Wednesday from 03:30 to 03:46 am (KST). They each flew around 550 km into the East Sea. 

Japan's Minister of Defense reported they were each fired at 03:35 and 03:48 am (KST). They flew for around 10 minutes and fell outside of Japan's EEZ.","https://en.yna.co.kr/view/AEN20230719000551325?section=nk/nk
https://www.reuters.com/world/asia-pacific/north-korea-fires-ballistic-missile-japan-says-2023-07-18/",2023,29,07-2023,Tuesday,False
2023-07-12,Missile Provocation,Intercontinental Ballistic Missile,"North Korea launched an ICBM (Hwasong-18) into the East Sea around 10:00 am (KST). According ot the ROK JCS, the missile was fired at a lofted angle, flew around 1,000 km before splashing into the water. There was no media reporting. Tokyo said the missile was launched at 09:59 am and splashed down 155 miles west of Okushiri Island at around 11:13 am, just outside Japan's EEZ. This points to a flight duration of around 74 minutes, potentially making it NK's longest ballistic missile flight duration. Tokyo added the missile reached a maximum altitude of over 6,000 km, similar to past ICBM trajectories. 

(Update) NK state media coverage reported 2023-07-13. Images and video Hwasong-18 test launch were released. Their claims roughly matched Japanese military's real-time assessment of the launch. NK claimed the missile flew 74.85 minutes, flew 1,000.2km in distance and reached 6,648km in maximum altitude, according to Rodong Sinmun. Photos show that the test was likely from the same design of transport erector launch vehicle (TEL), while video footage on KCTV show it was ""cold launched"" from its missile canister atop the TEL. 

State media said Kim Jong Un oversaw the test launch from his private pension (Jindallae Guesthouse) located east of Pyongyang.","https://www.nknews.org/2023/07/north-korea-fires-ballistic-missile-toward-the-east-sea/.
https://kcnawatch.org/newstream/1689220222-947146290/another-event-of-great-significance-recorded-in-developing-strategic-force-of-dprk-test-fire-of-new-type-icbm-conducted-respected-comrade-kim-jong-un-guides-test-fire-of-icbm-hwasongpho-18/
https://www.nknews.org/2023/07/north-korea-launched-hwasong-18-icbm-as-show-of-force-against-us-state-media/",2023,28,07-2023,Wednesday,True
2023-06-15,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea separately launched two short-range ballistic missiles (SRBMs) between 07:25 and 07:37 pm (KST) from the Sunan area, where Pyongyang International Airport is located, toward the East Sea. According to the ROK JCS, the two missiles flew around 780 km. The Japanese defense ministry estimated that they travelled 850-900 km and reached a peak altitude of around 50 km. The ministry released a single launch alert at 07:28 pm and said at least one missile splashed down before 07:50 pm.",https://www.nknews.org/2023/06/north-korea-launches-suspected-ballistic-missile-after-us-rok-military-drills/,2023,24,06-2023,Thursday,False
2023-05-30,Missile Provocation,Satellite Launch,"North Korea fired ""Chollima-1"", rocket carrying a military reconnaissance satellite, ""Malligyong-1"", southward Wednesday, but it fell into the Yellow Sea after a malfunction. Observers indicate that the North intend to secure intelligence, surveillance and reconnaissance (ISR) assets. The National Aerospace Development Administration (NADA) ""attributed the failure to the low reliability and stability of the new-type engine system"" and the ""unstable character of the fuel used."" The NADA added that they will conduct the second launch as soon as possible.","https://en.yna.co.kr/view/AEN20230531011251320#:~:text=SEOUL%2C%20May%2031%20(Yonhap),Korea's%20spy%20agency%20said%20Wednesday. https://kcnawatch.org/newstream/1685496981-427573091/kcna-report/",2023,22,05-2023,Tuesday,False
2023-04-13,Missile Provocation,Intercontinental Ballistic Missile,"North Korea fired one ""new type of ballistic missile with an intermediate or intercontinental range"" into the sea between Korea and Japan on the 11th anniversary of Kim Jong-un's appointment as the Chairman of the National Defense Commission. North Korea later announced this was the new, solid-fuel Hwasong-18 ICBM.","https://www.reuters.com/world/asia-pacific/north-korea-fires-missile-into-sea-off-east-coast-south-korea-says-2023-04-12/#:~:text=%22So%20far%20we%20assess%20that,a%20solid%2Dfuel%20propellant.%22",2023,15,04-2023,Thursday,True
2023-04-08,Other Provocation,Underwater nuclear attack drone,"North Korea conducted a test of an underwater nuclear attack drone called the Haeil-2 between April 4 to April 7. It said the drone travelled 1,000 km (621 miles) for 71 hours and 6 minutes, and successfully hit a simulated target.",https://www.reuters.com/world/north-korea-says-it-carried-out-underwater-strategic-weapon-system-test-kcna-2023-04-07/,2023,14,04-2023,Saturday,False
2023-03-27,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired two short-range ballistic missiles (SRBM) from the Chunghwa County area to the sea between Korea and Japan in an apparent protest against the U.S.-ROK naval exercise involving U.S. nuclear aircraft carrier USS Nimitz.,https://en.yna.co.kr/view/AEN20230320001153325?section=news,2023,13,03-2023,Monday,False
2023-03-24,Other Provocation,Underwater nuclear attack drone,"North Korea launched an underwater nuclear attack drone, ""Haeil,"" from the coast of Riwon County to the waters near Hongwon Bay. The drone, capable of spawning radioactive tsunami, traveled ""along an oval and pattern-8 course at an underwater depth of 80 to 150 meters in the East Sea of Korea for 59 hours and 12 minutes"" before reaching the target point.",https://en.yna.co.kr/view/AEN20230324000351325?section=news,2023,12,03-2023,Friday,False
2023-03-22,Missile Provocation,Long-range Cruise Missile Launch,"North Korea fired four cruise missiles from the Hamhung area to the sea between Korea and Japan in an apparent protest against the ongoing joint U.S.-ROK military exercise, Freedom Shield.",https://en.yna.co.kr/view/AEN20230323004851325?section=news,2023,12,03-2023,Wednesday,False
2023-03-19,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired a short-range ballistic missile (SRBM) from the Tongchang-ri area to the sea between Korea and Japan in an apparent protest against the ongoing joint U.S.-ROK military exercise.,https://en.yna.co.kr/view/AEN20230319001254325?section=search,2023,12,03-2023,Sunday,False
2023-03-16,Missile Provocation,Intercontinental Ballistic Missile,"North Korea launched a Hwasong-17 intercontinental ballistic missile (ICBM) from Pyongyang International Airport to the sea between Korea and Japan to illustrate the ""toughest response posture"" against the Joint U.S.-ROK military drills.",https://en.yna.co.kr/view/AEN20230317001052325?section=search,2023,11,03-2023,Thursday,False
2023-03-14,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched two short-range ballistic missiles (SRBMs) toward the sea between Korea and Japan from the Jangyon area in South Hwanghae Province at 7:41 am and 7:51 am.,https://en.yna.co.kr/view/AEN20230314001051325?section=news,2023,11,03-2023,Tuesday,False
2023-03-12,Missile Provocation,Strategic cruise missile,"North Korea's ""8.24 Yongung"" submarine fired two strategic cruise missiles into the sea between Korea and Japan to protest against the U.S.-ROK Joint military exercise, Freedom Shield.",https://en.yna.co.kr/view/AEN20230313000254325?section=search,2023,11,03-2023,Sunday,False
2023-03-09,Missile Provocation,Short-range Ballistic Missile Launch,"The North Korean leader and his daughter Ju-ae inspected the 8th fire assault company's actual war response posture. The drills were designed to target the South's military airfields in the event of a war. Photos released by KCNA indicate that North Korea fired at least six short-range ballistic missiles from a reservoir area in Gangseo, South Pyongan Province.",https://en.yna.co.kr/view/AEN20230310000652325?section=news,2023,10,03-2023,Thursday,False
2023-02-23,Missile Provocation,Strategic cruise missile,"North Korea's strategic cruise missile unit fired four ""Hwasal-2 strategic cruise missiles"" from Kim Chaek toward the sea betweem Korea and Japan, hitting the preset target after traveling elliptical and eight-shaped flight orbits for 10,208 to 10,224 seconds.",https://en.yna.co.kr/view/AEN20230224000451325?section=news,2023,8,02-2023,Thursday,False
2023-02-20,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles toward Japan. The missiles were launched from Sukchon, South Pyongan Province, and landed off the west coast of Japan. No damage was reported to aircraft or vessels in the area, and Japan confirmed that both missiles landed outside its exclusive economic zone.",https://www.nbcnews.com/news/world/north-korea-fires-2-ballistic-missiles-east-coast-rcna71419,2023,8,02-2023,Monday,False
2023-02-18,Missile Provocation,Intercontinental Ballistic Missile,"North Korea conducted a ""sudden launching"" drill, firing a Hwasong-15 intercontinental ballistic missile at a lofted angle. The missile was launched from the international airport in Pyongyang and flew for 989 kilometers for 4,015 seconds, landing in the international waters of the sea between Korea and Japan.",https://en.yna.co.kr/view/AEN20230219000453325?section=search,2023,7,02-2023,Saturday,False
2023-01-01,Other Provocation,Multiple Lanuch Rocket System (MLRS) Test,"North Korea tested a nuclear-capable “super-large multiple launch rocket system (MLRS)” early in the morning on New Year’s Day, according to state media, a day after leader Kim Jong Un joined a ceremony to hand over the “offensive” weapons to the military. In a speech, Kim said the 30 new units of 600mm super-large MLRS can strike anywhere in South Korea and carry tactical nuclear warheads, the party daily Rodong Sinmun reported Sunday.",https://www.nknews.org/2023/01/north-korea-rings-in-the-new-year-with-early-morning-missile-launch-tokyo/,2023,1,01-2023,Sunday,True
2022-12-31,Missile Provocation,Short-range Missile Launch,"North Korea fired three short-range ballistic missiles from Chunghwa County, North Hwanghae Province toward the sea between Korea and Japan at around 8:00am.",https://en.yna.co.kr/view/AEN20221231000452325,2022,52,12-2022,Saturday,False
2022-12-26,Other Provocation,Drones (UAVs),"Five North Korean drones intruded across the inter-Korean border with one of them having flown over northern Seoul on Monday, officials here said, prompting South Korea to send its own unmanned vehicles into the North in a ""corresponding"" step. The South's military detected the unmanned aerial vehicles (UAVs) in border areas of Gyeonggi Province from 10:25 a.m., according to the Joint Chiefs of Staff (JCS). The UAVs were 2 meters wide or smaller.",https://en.yna.co.kr/view/AEN20221226007055325,2022,52,12-2022,Monday,False
2022-12-23,Missile Provocation,Short-range Missile Launch,"North Korea launched two short-range ballistic missiles (SRBMs) toward the sea between Korea and Japan on Friday afternoon, according to South Korea’s military. The Joint Chiefs of Staff (JCS) said the DPRK fired the missiles from Pyongyang’s Sunan area around 4:32 p.m. KST, and flew around 150 and 215 miles (250 and 350 km) respectively before landing in the sea. South Korean and U.S. intelligence authorities are still analyzing the launches, the JCS press release added.",https://www.nknews.org/2022/12/north-korea-launches-unknown-ballistic-missile-toward-east-sea-jcs/,2022,51,12-2022,Friday,False
2022-12-18,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea launched two medium-range ballistic missiles (MRBMs) toward the sea between Korea and Japan, according to South Korea’s Joint Chiefs of Staff (JCS). The two MRBMs were detected between 11:13 a.m. and 12:05 p.m. KST at Tongchang-ri, North Phyongyan Province, and both traveled some 310 miles (500 km) before splashing into the water.",https://en.yna.co.kr/view/AEN20221218001257315?section=nk/nk,2022,51,12-2022,Sunday,False
2022-12-18,Other Provocation,Satellite Launch,"North Korea claims it launched a special carrier rocket on Sunday as part of a “crucial” development test of a military reconnaissance satellite, according to state media, releasing two high-altitude images reportedly taken that day over snow-covered South Korean cities Seoul and Incheon.",https://en.yna.co.kr/view/AEN20221219000452325?section=nk/nk,2022,51,12-2022,Sunday,False
2022-12-15,Other Provocation,Rocket Engine Test,"North Korea announced the successful ""static firing test of high-thrust solid fuel motor"" at the Sohae Satellite Launching Ground with a thrust of 140 ton-force. They claimed this new test is important for the development of a new strategic weapons system, likely a new solid-fueled ICBM.",https://en.yna.co.kr/view/AEN20221216000652325?section=nk/nk,2022,50,12-2022,Thursday,False
2022-12-06,Other Provocation,Artillery Fire,"North fired about 90 artillery rounds from 10 a.m. through the afternoon from Kosong County in Kangwon Province toward the sea between Korea and Japan. About 10 more firings were detected after 6 p.m. from Kumgang County in the same province, the JSC said.",https://en.yna.co.kr/view/AEN20221206004954325?section=nk/nk,2022,49,12-2022,Tuesday,False
2022-11-18,Missile Provocation,Intercontinental Ballistic Missile,"North Korea fired a Hwasong-17, an intercontinental ballistic missile from the Sunan area in Pyongyang at 10:15am. The missile flew about 621 miles (1000km) at an apogee of around 3790 miles (6100km) and a top speed of Mach 22.",https://en.yna.co.kr/view/AEN20221104001655325?section=nk/nk,2022,46,11-2022,Friday,False
2022-11-17,Missile Provocation,Short-range Ballistic Missile Launch,"A short-range ballistic missile was launched from the Wonsan area in Kangwon Province at 10:48am, and the missile flew some 150 miles (240km) at an apogee of around 47 km at a top speed of Mach 4.",https://en.yna.co.kr/view/AEN20221117003754325?section=national/defense,2022,46,11-2022,Thursday,False
2022-11-09,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea launched one short-range ballistic missile (SRBM) toward the sea between Korea and Japan. The missile was launched from an area in or around Sukchon, South Pyongan Province, at around 3:31 pm.",https://en.yna.co.kr/view/AEN20221109006953325?section=news,2022,45,11-2022,Wednesday,False
2022-11-05,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired four short-range ballistic missiles (SRBM) toward the Yellow Sea, the South Korean military said. The Joint Chiefs of Staff (JCS) said it detected the launches from Tongrim County in North Pyongyan Province between around 11:32 a.m. and 11:59 a.m. The missiles flew about 80 miles (130km) at an apogee of 20 km with a top speed of Mach 5, it added.",https://en.yna.co.kr/view/AEN20221105004751315,2022,44,11-2022,Saturday,False
2022-11-04,Other Provocation,Airplane Exercise,"North Korea flew about 180 military aircrafts, including fighters and bombers between 11:00am and 3:00pm in inland areas as well as the west and east costs, and the bombers conducted air-to-ground firing. The planes did not approach close to the inter-Korean border, but it did prompt South Korea to scramble 80 fighter jets in response.",https://en.yna.co.kr/view/AEN20221104009451325?section=national/defense,2022,44,11-2022,Friday,False
2022-11-03,Missile Provocation,Intercontinental ballistic missile & SRBM,"North Korea fired a Hwasong-17, an intercontinental ballistic missile from the Sunan area in Pyongyang at around 7:40am. The missile flew about 472 miles (760km) at an apogee of around 1193 miles and a top speed of Mach 15. The ICBM seems to have failed in normal flight following the second stage separation. North Korea also fired 2 SRBMs from Kaechon in South Pyongan province at around 8:39am. The SRBMs flew about 205 miles at an apogee of around 43 miles (69km) and a top speed of Mach 5.",https://en.yna.co.kr/view/AEN20221005004357325,2022,44,11-2022,Thursday,False
2022-11-02,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired about 25 missiles of different types. It first started with 4 SRBMs at 6:51am that were launched into the sea between Korea and China. It then launched 3 more SRBMs from Wonsan at around 8:51am, one of which landed near the inter-Korean border, the first ballistic missile that the North have sent southward towards South Korea since 1945. That missile prompted an air raid alert on the South Korean island of Ulleung. These 3 SRBMs landed into the sea between Korea and Japan. Later at 9:12am, North Korea launched 10 more missiles from both its east and west coasts, including some SRBMs and surface-to-air missiles (SAMs). The North also launched about 100 artillery shells from Kosong County in Kangwon province into the eastern maritime buffer zone at around 1:27pm. Lastly between 4:30 to 5:10pm, they fired six more missiles, believed to be SAMs into the seas between Korea and China and Korea and Japan.",https://en.yna.co.kr/view/AEN20220307009057325?section=nk/nk,2022,44,11-2022,Wednesday,False
2022-10-28,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles from the Tongchan area in Kangwon province between 11:59am and 12:18pm. The missiles flew toward the sea between Korea and Japan, and flew about 143 miles at apogees of around 15 miles and top speeds of Mach 5. The launches came as South Korea concluded its Hoguk exercise the same day.",https://en.yna.co.kr/view/AEN20221028005657325,2022,43,10-2022,Friday,False
2022-10-19,Other Provocation,Artillery Fire,"North Korea fired around 100 artillery shells into the Yellow Sea from Yonan County, South Hwanghae province starting at 12:30 p.m. The shells landed into the western buffer zone north of the Northern Limit Line set as part of the 2018 Comprehensive Military Agreement.",https://en.yna.co.kr/view/AEN20221019006551325,2022,42,10-2022,Wednesday,False
2022-10-18,Other Provocation,Artillery Fire,North Korea fired around 100 artillery rounds into the western buffer zones north of the Northern Limit Line in the Yellow Sea at around 10:00 pm. It fired around 150 artillery rounds into the eastern buffer zone north of the Northern Limit Line in the sea between Korea and Japan at around 11:00 pm. The buffer zones were established under the 2018 Comprehensive Military Agreement.,https://en.yna.co.kr/view/AEN20221019000251325?section=nk/nk,2022,42,10-2022,Tuesday,False
2022-10-14,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired a short-range ballistic missile from the Sunan area in Pyongyang at 1:40am towards the sea between Korea and Japan. The missile flew 435 miles, with an apogee of 30 miles, and a top speed of Mach 6.",https://en.yna.co.kr/view/AEN20221014000552325,2022,41,10-2022,Friday,False
2022-10-14,Other Provocation,Airplane Exercise,"Around 10 North Korean military aircraft conducted exercises near the inter-Korean border between 10:30pm and 12:20 am. Some flew as close as 15 miles to the Military Demarcation Line, 7 miles close to the Northern Limit Line and 3 miles close to the no-fly zone agreed to in the 2018 September 19 military agreement.",https://en.yna.co.kr/view/AEN20221014000300325,2022,41,10-2022,Friday,False
2022-10-14,Other Provocation,Artillery Fire,"From 1:20 a.m. KST, North Korea fired 130 rounds of artillery shells from the west coast. From 2:57 a.m. KST, North Korea fired 40 rounds of shells off the east coast. At 5:00 p.m. and 5:20 p.m. KST, North Korea fired again 80 and 200 rounds of shells off the east and west coast. Between 5:00 p.m. and 6:30 p.m., North Korea fired 90 more rounds into the sea between Korea and Japan from Jangjon in Kwangwon province.",https://en.yna.co.kr/view/AEN20221014011051325?section=national/defense,2022,41,10-2022,Friday,False
2022-10-12,Missile Provocation,Long-range Cruise Missile Launch,North Korea fired two long-range strategic cruise missile that reportedly flew for about 170 minutes and hit a target 1242 miles (2000 km) away in the sea between Korea and China.,https://en.yna.co.kr/view/AEN20221013000652325?section=nk/nk,2022,41,10-2022,Wednesday,False
2022-10-09,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles from Munchon in Gangwon province between 1:48am and 1:58am. The missile flew toward the sea between Korea and Japan, and travelled around 212 miles at an apogee of around 56 miles.",https://en.yna.co.kr/view/AEN20221009000351325,2022,41,10-2022,Sunday,False
2022-10-06,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles from the Samsok area in Pyongyang between 6:01am and 6:23am. The missiles flew toward the sea between Korea and Japan, and with one flying about 217 miles (350 km) at an apogee of 50 miles (80 km), and another traveling about 487 miles (800 km) at an altitude of 37 miles (60 km).",https://en.yna.co.kr/view/AEN20221006000853325,2022,40,10-2022,Thursday,False
2022-10-06,Other Provocation,Airplane Exercise,"Around 12 North Korean military aircrafts, including 8 fighter jets and 4 bombers carried our air-to-surface firing exercises at 2:00 pm for an hour near the inter-Korean air border, and breached South Korea's ""special reconnaissance line.""",https://www.nknews.org/2022/10/north-korea-flies-dozen-fighter-jets-and-bombers-near-inter-korean-border-seoul/,2022,40,10-2022,Thursday,False
2022-10-04,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea fired an intermediate-range ballistic missile (IRBM) from Mupyong-ri in the northern province of Jagang at 7:23am. The missile flew over Japan, and flew about 2796 miles (4500km) at an apogee of around 607 miles (970km) and top speed of Mach 17.",https://en.yna.co.kr/view/AEN20221004001353325?section=national/defense,2022,40,10-2022,Tuesday,False
2022-10-01,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles toward the sea between Korea and Japan. The launch was detected from the Sunan area in Pyongyang between 6:45am and 7:03am, and the missiles flew about 217 miles (350 km) at apogees of about 18 miles (30 km) and top speeds of Mach 6.",https://en.yna.co.kr/view/AEN20221001000455325?section=nk/nk,2022,39,10-2022,Saturday,False
2022-09-29,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired two short-range ballistic missile towards the sea between Korea and Japan. The missiles were launched from the Sunchon area in South Pyongan province between 8:48pm and 8:57pm. The launch comes hours after U.S. Vice President Kamala Harris finished her visit to South Korea.,https://en.yna.co.kr/view/AEN20220929010152325,2022,39,09-2022,Thursday,False
2022-09-28,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles into the sea between Korea and Japan. The missiles were launched from the Sunan area in Pyongyang between 6:10pm and 6:20pm, and flew about 223 miles (360km) at apogees of around 30km and top speeds of Mach 6.",https://en.yna.co.kr/view/AEN20220928009054315,2022,39,09-2022,Wednesday,False
2022-09-25,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired a short-range ballistic missile into the sea between Korea and Japan from an area around Taechon, North Pyongan Province at 6:53am. The missile flew about 372 miles (600km) at an apogee of 60km and a top speed of Mach 5.",https://en.yna.co.kr/view/AEN20220925000355325,2022,39,09-2022,Sunday,False
2022-08-17,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two cruise missiles from Onchon, South Pyongan province into the sea between Korea and China.",https://en.yna.co.kr/view/AEN20220817006451325,2022,33,08-2022,Wednesday,False
2022-07-10,Other Provocation,Artillery Fire,"North Korea fired artillery shots, presumably from multiple rocket launchers between 6:21pm to 6:37pm. The exact number of shots launched and the origin of the firing is unknown.",https://en.yna.co.kr/view/AEN20220710002953325,2022,28,07-2022,Sunday,False
2022-06-12,Other Provocation,Artillery Fire,"North Korea fired artillery shots, presumably from multiple rocket launchers between 8:07am to 11:03am. The exact number of shots launched and the origin of the firing is unknown.",https://en.yna.co.kr/view/AEN20220612002900325,2022,24,06-2022,Sunday,False
2022-06-05,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired eight short-range ballistic missiles toward the sea between Korea and Japan between 9:08am to 9:43am. The missiles were launched by areas around Sunan in Pyongyang, Kaechon, Tongchang-ri and Hamhung. The missiles flew about 68 to 416 miles (110 to 670km) at altitudes of 25-90 km, with speeds of Mach 3 to Mach 6.",https://en.yna.co.kr/view/AEN20220305000454325?section=nk/nk,2022,23,06-2022,Sunday,False
2022-05-25,Missile Provocation,Ballistic Missile Launch,"North Korea fired three ballistic missiles toward the sea between Korea and Japan at around 6:00am, 6:37am and 6:42am (KST) respectively. The missiles were launched from the Sunan area in Pyongyang. The first missile is a suspected ICBM that flew around 223 miles (360 km), with a top altitute of 540 km. The second missile was a short-range ballistic missile that reached an altitude of 20 km. The last missile, also a short-range ballistic missile, flew around 472 miles (760 km) at an apogee of 60 km.",https://en.yna.co.kr/view/AEN20220525000755325?section=national/defense,2022,21,05-2022,Wednesday,False
2022-05-25,Other Provocation,Nuclear Detonation Device,"According to Kim Tae-hyo, the first deputy director of the National Security Office of the Republic of Korea, North Korea has been testing a nuclear triggering device at an undisclosed location, apparently in preparation for a seventh nuclear test.",https://en.yna.co.kr/view/AEN20220525008952315?section=nk/nk,2022,21,05-2022,Wednesday,False
2022-05-12,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired three short-range missiles into the sea between Korea and Japan at 6:29pm (KST). The missiles were fired from the Sunan area in Pyongyang, and flew around 223 miles (360 km), with a top altitute of about 90 km.",https://en.yna.co.kr/view/AEN20220512012152325?section=national/defense,2022,19,05-2022,Thursday,False
2022-05-07,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea fired a suspected submarine-launched ballistic missile (SLBM). The missile was fired form waters off the coast of Sinpo at 2:07pm (KST), and flew some 372 miles at a top altitude of 60 km.",https://en.yna.co.kr/view/AEN20220507002155325,2022,18,05-2022,Saturday,False
2022-05-04,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired a balliistic missile toward the sea between Korea and Japan at 12:03pm (KST). The missile was fired from the Sunan area in Pyongyang, and flew around 292 miles (470 km), with an altitude of around 485 miles (780 km).",https://en.yna.co.kr/view/AEN20220504005151325,2022,18,05-2022,Wednesday,False
2022-04-16,Missile Provocation,Short-range Missile Launch,North Korea fired two projectiles into the sea between Korea and Japan at 6:00pm (KST). The projectiles flew 110 km at an apogee of around 25km and a top sped of Mach 4. North Korean state media claimed the day after that it was a successful test-firing of a new tactical guided weapon that will help improve the efficiency of the North's tactical nuclear weapons.,https://en.yna.co.kr/view/AEN20220417000452325?section=nk/nk,2022,15,04-2022,Saturday,False
2022-03-24,Missile Provocation,Intercontinental Ballistic Missile,"North Korea purportedly fired an intercontinental ballistic missile from the Sunan airfield in Pyongyang at 2:34pm (KST). The missile flew 1,090 km at a top altitude of 6,248 km.",https://en.yna.co.kr/view/AEN20220325000953325,2022,12,03-2022,Thursday,False
2022-03-20,Other Provocation,Artillery Fire,North Korea fired four suspected shots from multiple rocket launchers from an unspecified location in South Pyongan Province. The shots fell into the sea between Korea and China.,https://en.yna.co.kr/view/AEN20220321000951325?section=nk/nk,2022,12,03-2022,Sunday,False
2022-03-16,Missile Provocation,Short-range Missile Launch,North Korea fired a projectile from the Sunan area in Pyongyang at an altitude below 20 kilometers. The projectile appeared to have exploded in midair.,https://en.yna.co.kr/view/AEN20220317001000325?section=nk/nk,2022,11,03-2022,Wednesday,False
2022-03-05,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea fired a ballistic missile at 8:48am (KST) from the Sunan area in Pyongyang towards the sea between Korea and Japan. The missile flew about 270 km at a top altitude of 560 km. North Korean state media called it a second important test for its reconnaissance satellite systems.,https://en.yna.co.kr/view/AEN20220305000853325,2022,9,03-2022,Saturday,False
2022-02-27,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea fired a medium-range ballistic missile from the Sunan area in Pyongyang towards the sea between Korea and Japan. The missile was detected at 7:52am (KST), and flew about 300 km at a top altitude of 620 km.",https://en.yna.co.kr/view/AEN20220227000355325,2022,9,02-2022,Sunday,False
2022-01-30,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea fired an intermediate-range ballistic missile (IRBM) from Mupyong-ri in the northern province of Japang into the sea between Korea and Japan. The missile was detected at 7:52am (KST), and flew about 800 km at a top altitude of 2000 km and a top speed of Mach 16.",https://en.yna.co.kr/view/AEN20220130000353325?section=nk/nk,2022,5,01-2022,Sunday,False
2022-01-27,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two short-range ballistic missiles from the eastern coastal city of Hamhung toward the sea between Korea and Japan. The missiles were detected at around 8:00am and 8:05am, and there flew about 190 km at an altitude of 20 km.",https://en.yna.co.kr/view/AEN20220127001554325,2022,4,01-2022,Thursday,False
2022-01-25,Missile Provocation,Short-range Missile Launch,North Korea fired two cruise missiles from an inland area.,https://en.yna.co.kr/view/AEN20220125006551325,2022,4,01-2022,Tuesday,False
2022-01-17,Missile Provocation,Short-range Missile Launch,"North Korea fired two short-range ballistic missiles from Sunan airport in Pyongyang. The missiles were detected at 8:50am (KST) an 8:54am (KST), and flew eastward for 380 km at an altitude of 42 km, and a top spped of Mach 5.",https://en.yna.co.kr/view/AEN20220117001954325,2022,3,01-2022,Monday,False
2022-01-14,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired two ballistic missiles from Uiju in North Pyongan Province in the northwest region near China. The missiles were detected at 2:41pm (KST) and 2:52pm (KST) respectively, and flew eastward for around 430 km at an altitude of 36 km, and a top speed around Mach 6.",https://en.yna.co.kr/view/AEN20220114007056325?section=national/defense,2022,2,01-2022,Friday,False
2022-01-11,Missile Provocation,Short-range Missile Launch,"North Korea fired an alleged hypersonic missile from the northern province of Jagang into the sea between Japan and Korea. The missile launch was detected at 7:27am (KST), and traveled more than 700 km at a maximum altitude of 60 km and a top speed of Mach 10.",https://en.yna.co.kr/view/AEN20220111001057325?section=nk/nk,2022,2,01-2022,Tuesday,False
2022-01-05,Missile Provocation,Nuclear Detonation Device,"North Korea fired an unidentified ballistic missile from a site in the province of Jagang towards the sea between Japan and Korea. The missile was detected at 8:10 am (KST). According to North Korean state media, the missile was the Hwasong-8 ""hypersonic"" missile, and it hit a target 700km away.",https://en.yna.co.kr/view/AEN20220105001855325?section=national/defense,2022,1,01-2022,Wednesday,False
